[2019-08-06 09:31:11] serial port receive: 00
[2019-08-06 09:31:11] serial port receive: 44
[2019-08-06 09:31:11] serial port receive: 42
[2019-08-06 09:31:11] serial port receive: 3B
[2019-08-06 09:31:11] serial port receive: 4D
[2019-08-06 09:31:11] serial port receive: 30
[2019-08-06 09:31:11] serial port receive: 31
[2019-08-06 09:31:11] serial port receive: 00
[2019-08-06 09:31:11] serial port receive: 00
[2019-08-06 09:31:11] serial port receive: B2
[2019-08-06 09:31:11] serial port receive: 42
[2019-08-06 09:31:11] serial port receive: FF
[2019-08-06 09:31:11] serial port receive: FF
[2019-08-06 09:31:11] serial port receive: 26
[2019-08-06 09:31:11] serial port receive: 26
[2019-08-06 09:31:31] serial port receive: 23
[2019-08-06 09:31:31] serial port receive: 23
[2019-08-06 09:31:31] serial port receive: 2A
[2019-08-06 09:31:31] serial port receive: 00
[2019-08-06 09:31:31] serial port receive: 21
[2019-08-06 09:31:31] serial port receive: 52
[2019-08-06 09:31:31] serial port receive: 04
[2019-08-06 09:31:31] serial port receive: 13
[2019-08-06 09:31:31] serial port receive: 08
[2019-08-06 09:31:31] serial port receive: 06
[2019-08-06 09:31:31] serial port receive: 09
[2019-08-06 09:31:31] serial port receive: 1F
[2019-08-06 09:31:31] serial port receive: 1F
[2019-08-06 09:31:31] serial port receive: 42
[2019-08-06 09:31:31] serial port receive: 30
[2019-08-06 09:31:31] serial port receive: 31
[2019-08-06 09:31:31] serial port receive: 00
[2019-08-06 09:31:31] serial port receive: 00
[2019-08-06 09:31:31] serial port receive: 58
[2019-08-06 09:31:31] serial port receive: 42
[2019-08-06 09:31:31] serial port receive: 3B
[2019-08-06 09:31:31] serial port receive: 47
[2019-08-06 09:31:31] serial port receive: 30
[2019-08-06 09:31:31] serial port receive: 31
[2019-08-06 09:31:31] serial port receive: 00
[2019-08-06 09:31:31] serial port receive: 00
[2019-08-06 09:31:31] serial port receive: 0C
[2019-08-06 09:31:31] serial port receive: 42
[2019-08-06 09:31:31] serial port receive: 3B
[2019-08-06 09:31:31] serial port receive: 48
[2019-08-06 09:31:31] serial port receive: 30
[2019-08-06 09:31:31] serial port receive: 31
[2019-08-06 09:31:31] serial port receive: 00
[2019-08-06 09:31:31] serial port receive: 00
[2019-08-06 09:31:31] serial port receive: 44
[2019-08-06 09:31:31] serial port receive: 42
[2019-08-06 09:31:31] serial port receive: 3B
[2019-08-06 09:31:31] serial port receive: 4D
[2019-08-06 09:31:31] serial port receive: 30
[2019-08-06 09:31:31] serial port receive: 31
[2019-08-06 09:31:31] serial port receive: 00
[2019-08-06 09:31:31] serial port receive: 00
[2019-08-06 09:31:31] serial port receive: B2
[2019-08-06 09:31:31] serial port receive: 42
[2019-08-06 09:31:31] serial port receive: FF
[2019-08-06 09:31:31] serial port receive: FF
[2019-08-06 09:31:31] serial port receive: 26
[2019-08-06 09:31:31] serial port receive: 26
[2019-08-06 09:31:51] serial port receive: 23
[2019-08-06 09:31:51] serial port receive: 23
[2019-08-06 09:31:51] serial port receive: 2A
[2019-08-06 09:31:51] serial port receive: 00
[2019-08-06 09:31:51] serial port receive: 21
[2019-08-06 09:31:51] serial port receive: 52
[2019-08-06 09:31:51] serial port receive: 0413
[2019-08-06 09:31:51] serial port receive: 0806
[2019-08-06 09:31:51] serial port receive: 09
[2019-08-06 09:31:51] serial port receive: 1F
[2019-08-06 09:31:51] serial port receive: 33
[2019-08-06 09:31:51] serial port receive: 42
[2019-08-06 09:31:51] serial port receive: 30
[2019-08-06 09:31:51] serial port receive: 31
[2019-08-06 09:31:51] serial port receive: 00
[2019-08-06 09:31:51] serial port receive: 00
[2019-08-06 09:31:51] serial port receive: 58
[2019-08-06 09:31:51] serial port receive: 42
[2019-08-06 09:31:51] serial port receive: 3B
[2019-08-06 09:31:51] serial port receive: 47
[2019-08-06 09:31:51] serial port receive: 30
[2019-08-06 09:31:51] serial port receive: 31
[2019-08-06 09:31:51] serial port receive: 00
[2019-08-06 09:31:51] serial port receive: 00
[2019-08-06 09:31:51] serial port receive: 0C
[2019-08-06 09:31:51] serial port receive: 42
[2019-08-06 09:31:51] serial port receive: 3B
[2019-08-06 09:31:51] serial port receive: 48
[2019-08-06 09:31:51] serial port receive: 30
[2019-08-06 09:31:51] serial port receive: 31
[2019-08-06 09:31:51] serial port receive: 00
[2019-08-06 09:31:51] serial port receive: 00
[2019-08-06 09:31:51] serial port receive: 44
[2019-08-06 09:31:51] serial port receive: 42
[2019-08-06 09:31:51] serial port receive: 3B
[2019-08-06 09:31:51] serial port receive: 4D
[2019-08-06 09:31:51] serial port receive: 30
[2019-08-06 09:31:51] serial port receive: 31
[2019-08-06 09:31:51] serial port receive: 00
[2019-08-06 09:31:51] serial port receive: 00
[2019-08-06 09:31:51] serial port receive: B2
[2019-08-06 09:31:51] serial port receive: 42
[2019-08-06 09:31:51] serial port receive: FF
[2019-08-06 09:31:51] serial port receive: FF
[2019-08-06 09:31:51] serial port receive: 26
[2019-08-06 09:31:51] serial port receive: 26
[2019-08-06 09:32:11] serial port receive: 23
[2019-08-06 09:32:11] serial port receive: 23
[2019-08-06 09:32:11] serial port receive: 2A
[2019-08-06 09:32:11] serial port receive: 00
[2019-08-06 09:32:11] serial port receive: 21
[2019-08-06 09:32:11] serial port receive: 52
[2019-08-06 09:32:11] serial port receive: 04
[2019-08-06 09:32:11] serial port receive: 13
[2019-08-06 09:32:11] serial port receive: 08
[2019-08-06 09:32:11] serial port receive: 06
[2019-08-06 09:32:11] serial port receive: 09
[2019-08-06 09:32:11] serial port receive: 20
[2019-08-06 09:32:11] serial port receive: 0B
[2019-08-06 09:32:11] serial port receive: 42
[2019-08-06 09:32:11] serial port receive: 30
[2019-08-06 09:32:11] serial port receive: 31
[2019-08-06 09:32:11] serial port receive: 00
[2019-08-06 09:32:11] serial port receive: 00
[2019-08-06 09:32:11] serial port receive: 64
[2019-08-06 09:32:11] serial port receive: 42
[2019-08-06 09:32:11] serial port receive: 3B
[2019-08-06 09:32:11] serial port receive: 47
[2019-08-06 09:32:11] serial port receive: 30
[2019-08-06 09:32:11] serial port receive: 31
[2019-08-06 09:32:11] serial port receive: 00
[2019-08-06 09:32:11] serial port receive: 00
[2019-08-06 09:32:11] serial port receive: 0C
[2019-08-06 09:32:11] serial port receive: 42
[2019-08-06 09:32:11] serial port receive: 3B
[2019-08-06 09:32:11] serial port receive: 48
[2019-08-06 09:32:11] serial port receive: 30
[2019-08-06 09:32:11] serial port receive: 31
[2019-08-06 09:32:11] serial port receive: 00
[2019-08-06 09:32:11] serial port receive: 00
[2019-08-06 09:32:11] serial port receive: 44
[2019-08-06 09:32:11] serial port receive: 42
[2019-08-06 09:32:11] serial port receive: 3B
[2019-08-06 09:32:11] serial port receive: 4D
[2019-08-06 09:32:11] serial port receive: 30
[2019-08-06 09:32:11] serial port receive: 31
[2019-08-06 09:32:11] serial port receive: 00
[2019-08-06 09:32:11] serial port receive: 00
[2019-08-06 09:32:11] serial port receive: B2
[2019-08-06 09:32:11] serial port receive: 42
[2019-08-06 09:32:11] serial port receive: FF
[2019-08-06 09:32:11] serial port receive: FF
[2019-08-06 09:32:11] serial port receive: 26
[2019-08-06 09:32:11] serial port receive: 26
[2019-08-06 09:32:31] serial port receive: 23
[2019-08-06 09:32:31] serial port receive: 23
[2019-08-06 09:32:31] serial port receive: 2A
[2019-08-06 09:32:31] serial port receive: 00
[2019-08-06 09:32:31] serial port receive: 21
[2019-08-06 09:32:31] serial port receive: 52
[2019-08-06 09:32:31] serial port receive: 04
[2019-08-06 09:32:31] serial port receive: 13
[2019-08-06 09:32:31] serial port receive: 08
[2019-08-06 09:32:31] serial port receive: 06
[2019-08-06 09:32:31] serial port receive: 09
[2019-08-06 09:32:31] serial port receive: 20
[2019-08-06 09:32:31] serial port receive: 1F
[2019-08-06 09:32:31] serial port receive: 42
[2019-08-06 09:32:31] serial port receive: 30
[2019-08-06 09:32:31] serial port receive: 31
[2019-08-06 09:32:31] serial port receive: 00
[2019-08-06 09:32:31] serial port receive: 00
[2019-08-06 09:32:31] serial port receive: 64
[2019-08-06 09:32:31] serial port receive: 42
[2019-08-06 09:32:31] serial port receive: 3B
[2019-08-06 09:32:31] serial port receive: 47
[2019-08-06 09:32:31] serial port receive: 30
[2019-08-06 09:32:31] serial port receive: 31
[2019-08-06 09:32:31] serial port receive: 00
[2019-08-06 09:32:31] serial port receive: 00
[2019-08-06 09:32:31] serial port receive: 0C
[2019-08-06 09:32:31] serial port receive: 42
[2019-08-06 09:32:31] serial port receive: 3B
[2019-08-06 09:32:31] serial port receive: 48
[2019-08-06 09:32:31] serial port receive: 30
[2019-08-06 09:32:31] serial port receive: 31
[2019-08-06 09:32:31] serial port receive: 00
[2019-08-06 09:32:31] serial port receive: 00
[2019-08-06 09:32:31] serial port receive: 44
[2019-08-06 09:32:31] serial port receive: 42
[2019-08-06 09:32:31] serial port receive: 3B
[2019-08-06 09:32:31] serial port receive: 4D
[2019-08-06 09:32:31] serial port receive: 30
[2019-08-06 09:32:31] serial port receive: 31
[2019-08-06 09:32:31] serial port receive: 00
[2019-08-06 09:32:31] serial port receive: 00
[2019-08-06 09:32:31] serial port receive: B2
[2019-08-06 09:32:31] serial port receive: 42
[2019-08-06 09:32:31] serial port receive: FF
[2019-08-06 09:32:31] serial port receive: FF
[2019-08-06 09:32:31] serial port receive: 26
[2019-08-06 09:32:31] serial port receive: 26
[2019-08-06 09:32:51] serial port receive: 23
[2019-08-06 09:32:51] serial port receive: 23
[2019-08-06 09:32:51] serial port receive: 2A
[2019-08-06 09:32:51] serial port receive: 00
[2019-08-06 09:32:51] serial port receive: 21
[2019-08-06 09:32:51] serial port receive: 52
[2019-08-06 09:32:51] serial port receive: 04
[2019-08-06 09:32:51] serial port receive: 13
[2019-08-06 09:32:51] serial port receive: 08
[2019-08-06 09:32:51] serial port receive: 06
[2019-08-06 09:32:51] serial port receive: 09
[2019-08-06 09:32:51] serial port receive: 20
[2019-08-06 09:32:51] serial port receive: 33
[2019-08-06 09:32:51] serial port receive: 42
[2019-08-06 09:32:51] serial port receive: 30
[2019-08-06 09:32:51] serial port receive: 31
[2019-08-06 09:32:51] serial port receive: 00
[2019-08-06 09:32:51] serial port receive: 00
[2019-08-06 09:32:51] serial port receive: 64
[2019-08-06 09:32:51] serial port receive: 42
[2019-08-06 09:32:51] serial port receive: 3B
[2019-08-06 09:32:51] serial port receive: 47
[2019-08-06 09:32:51] serial port receive: 30
[2019-08-06 09:32:51] serial port receive: 31
[2019-08-06 09:32:51] serial port receive: 00
[2019-08-06 09:32:51] serial port receive: 00
[2019-08-06 09:32:51] serial port receive: 0C
[2019-08-06 09:32:51] serial port receive: 42
[2019-08-06 09:32:51] serial port receive: 3B
[2019-08-06 09:32:51] serial port receive: 48
[2019-08-06 09:32:51] serial port receive: 30
[2019-08-06 09:32:51] serial port receive: 31
[2019-08-06 09:32:51] serial port receive: 00
[2019-08-06 09:32:51] serial port receive: 00
[2019-08-06 09:32:51] serial port receive: 44
[2019-08-06 09:32:51] serial port receive: 42
[2019-08-06 09:32:51] serial port receive: 3B
[2019-08-06 09:32:51] serial port receive: 4D
[2019-08-06 09:32:51] serial port receive: 30
[2019-08-06 09:32:51] serial port receive: 31
[2019-08-06 09:32:51] serial port receive: 00
[2019-08-06 09:32:51] serial port receive: 00
[2019-08-06 09:32:51] serial port receive: B2
[2019-08-06 09:32:51] serial port receive: 42
[2019-08-06 09:32:51] serial port receive: FF
[2019-08-06 09:32:51] serial port receive: FF
[2019-08-06 09:32:51] serial port receive: 26
[2019-08-06 09:32:51] serial port receive: 26
[2019-08-06 09:33:11] serial port receive: 23
[2019-08-06 09:33:11] serial port receive: 23
[2019-08-06 09:33:11] serial port receive: 2A
[2019-08-06 09:33:11] serial port receive: 00
[2019-08-06 09:33:11] serial port receive: 21
[2019-08-06 09:33:11] serial port receive: 52
[2019-08-06 09:33:11] serial port receive: 04
[2019-08-06 09:33:11] serial port receive: 13
[2019-08-06 09:33:11] serial port receive: 08
[2019-08-06 09:33:11] serial port receive: 06
[2019-08-06 09:33:11] serial port receive: 09
[2019-08-06 09:33:11] serial port receive: 21
[2019-08-06 09:33:11] serial port receive: 0B
[2019-08-06 09:33:11] serial port receive: 42
[2019-08-06 09:33:11] serial port receive: 30
[2019-08-06 09:33:11] serial port receive: 31
[2019-08-06 09:33:11] serial port receive: 00
[2019-08-06 09:33:11] serial port receive: 00
[2019-08-06 09:33:11] serial port receive: 5C
[2019-08-06 09:33:11] serial port receive: 42
[2019-08-06 09:33:11] serial port receive: 3B
[2019-08-06 09:33:11] serial port receive: 47
[2019-08-06 09:33:11] serial port receive: 30
[2019-08-06 09:33:11] serial port receive: 31
[2019-08-06 09:33:11] serial port receive: 00
[2019-08-06 09:33:11] serial port receive: 00
[2019-08-06 09:33:11] serial port receive: 0C
[2019-08-06 09:33:11] serial port receive: 42
[2019-08-06 09:33:11] serial port receive: 3B
[2019-08-06 09:33:11] serial port receive: 48
[2019-08-06 09:33:11] serial port receive: 30
[2019-08-06 09:33:11] serial port receive: 31
[2019-08-06 09:33:11] serial port receive: 00
[2019-08-06 09:33:11] serial port receive: 00
[2019-08-06 09:33:11] serial port receive: 44
[2019-08-06 09:33:11] serial port receive: 42
[2019-08-06 09:33:11] serial port receive: 3B
[2019-08-06 09:33:11] serial port receive: 4D
[2019-08-06 09:33:11] serial port receive: 30
[2019-08-06 09:33:11] serial port receive: 31
[2019-08-06 09:33:11] serial port receive: 00
[2019-08-06 09:33:11] serial port receive: 00
[2019-08-06 09:33:11] serial port receive: B2
[2019-08-06 09:33:11] serial port receive: 42
[2019-08-06 09:33:11] serial port receive: FF
[2019-08-06 09:33:11] serial port receive: FF
[2019-08-06 09:33:11] serial port receive: 26
[2019-08-06 09:33:11] serial port receive: 26
[2019-08-06 09:33:31] serial port receive: 23
[2019-08-06 09:33:31] serial port receive: 23
[2019-08-06 09:33:31] serial port receive: 2A
[2019-08-06 09:33:31] serial port receive: 00
[2019-08-06 09:33:31] serial port receive: 21
[2019-08-06 09:33:31] serial port receive: 52
[2019-08-06 09:33:31] serial port receive: 04
[2019-08-06 09:33:31] serial port receive: 13
[2019-08-06 09:33:31] serial port receive: 08
[2019-08-06 09:33:31] serial port receive: 06
[2019-08-06 09:33:31] serial port receive: 09
[2019-08-06 09:33:31] serial port receive: 21
[2019-08-06 09:33:31] serial port receive: 1F
[2019-08-06 09:33:31] serial port receive: 42
[2019-08-06 09:33:31] serial port receive: 30
[2019-08-06 09:33:31] serial port receive: 31
[2019-08-06 09:33:31] serial port receive: 00
[2019-08-06 09:33:31] serial port receive: 00
[2019-08-06 09:33:31] serial port receive: 68
[2019-08-06 09:33:31] serial port receive: 42
[2019-08-06 09:33:31] serial port receive: 3B
[2019-08-06 09:33:31] serial port receive: 47
[2019-08-06 09:33:31] serial port receive: 30
[2019-08-06 09:33:31] serial port receive: 31
[2019-08-06 09:33:31] serial port receive: 00
[2019-08-06 09:33:31] serial port receive: 00
[2019-08-06 09:33:31] serial port receive: 0C
[2019-08-06 09:33:31] serial port receive: 42
[2019-08-06 09:33:31] serial port receive: 3B
[2019-08-06 09:33:31] serial port receive: 48
[2019-08-06 09:33:31] serial port receive: 30
[2019-08-06 09:33:31] serial port receive: 31
[2019-08-06 09:33:31] serial port receive: 00
[2019-08-06 09:33:31] serial port receive: 00
[2019-08-06 09:33:31] serial port receive: 44
[2019-08-06 09:33:31] serial port receive: 42
[2019-08-06 09:33:31] serial port receive: 3B
[2019-08-06 09:33:31] serial port receive: 4D
[2019-08-06 09:33:31] serial port receive: 30
[2019-08-06 09:33:31] serial port receive: 31
[2019-08-06 09:33:31] serial port receive: 00
[2019-08-06 09:33:31] serial port receive: 00
[2019-08-06 09:33:31] serial port receive: B2
[2019-08-06 09:33:31] serial port receive: 42
[2019-08-06 09:33:31] serial port receive: FF
[2019-08-06 09:33:31] serial port receive: FF
[2019-08-06 09:33:31] serial port receive: 26
[2019-08-06 09:33:31] serial port receive: 26
[2019-08-06 09:33:51] serial port receive: 23
[2019-08-06 09:33:51] serial port receive: 23
[2019-08-06 09:33:51] serial port receive: 2A
[2019-08-06 09:33:51] serial port receive: 00
[2019-08-06 09:33:51] serial port receive: 21
[2019-08-06 09:33:51] serial port receive: 52
[2019-08-06 09:33:51] serial port receive: 04
[2019-08-06 09:33:51] serial port receive: 13
[2019-08-06 09:33:51] serial port receive: 08
[2019-08-06 09:33:51] serial port receive: 06
[2019-08-06 09:33:51] serial port receive: 09
[2019-08-06 09:33:51] serial port receive: 21
[2019-08-06 09:33:51] serial port receive: 33
[2019-08-06 09:33:51] serial port receive: 42
[2019-08-06 09:33:51] serial port receive: 30
[2019-08-06 09:33:51] serial port receive: 31
[2019-08-06 09:33:51] serial port receive: 00
[2019-08-06 09:33:51] serial port receive: 00
[2019-08-06 09:33:51] serial port receive: 60
